,corr,pval,speed
0,0.0962140496018194,0.296075521849128,1.19254757703115
1,-0.822767474233786,8.16061690705078E-21,11.3923029903613
2,-0.595874862590004,3.31732676993934E-11,35.8480374504861
3,-0.58925565098879,4.94318168076503E-11,18.9095861765353
4,-0.937759238589111,8.81352082372444E-27,8.79920339241331
5,-0.0284939762682814,0.757587639714562,7.65688584279292
6,-0.759290430193521,1.50966616198285E-17,2.02180345957635
7,-0.77053051690826,1.47069318959267E-18,13.0014511070543
8,-0.451319031955515,3.89044329935558E-07,8.29570264296273
9,0.230017292039132,0.0130910977389242,36.3434871561719
10,-0.604036112026104,1.11796832437031E-11,14.7133458646617
11,-0.0630641891279504,0.481718595662804,6.08656447249775
12,-0.201928951239315,0.026057904651624,8.68792444821748
13,0.743788834943034,1.65936319204173E-16,18.6936896162596
14,-0.309720887604783,0.00055465312786365,8.19658177856463
15,-0.364713557976252,7.07345986966213E-05,43.8675331858407
