,corr,speed,pval
0,0.0369222953242052,0.964976061689425,0.671593050850234
1,-0.780064430278168,9.46914491574079,1.07514268255211E-18
2,-0.531097472235214,21.9321725397824,2.28940086822322E-09
3,-0.613394926659487,1.82776613904407,2.16634156760884E-12
4,-0.919662545302105,7.83120298158827,8.03573459244399E-26
5,-0.446989247617097,14.9056657063774,4.82349834212399E-07
6,-0.582306414055191,9.09900868425363,2.64547681963314E-10
7,-0.481977977758902,9.26608769931663,6.66606864922356E-08
8,-0.344468878329407,3.99344134522902,0.000110299227306024
9,0.228702585394898,5.2282542954741,0.0101704026989691
10,-0.615957423149635,10.1838113036562,2.10466346766377E-12
11,-0.356128922284454,9.59898017789664,0.000114967894177189
12,-0.266970751001707,19.7412734260469,0.00325421995704136
13,0.493252653088818,10.62262697901,2.95901046512727E-08
14,0.314551822033248,12.1396213459719,0.000354072109954267
15,0.245558551347178,2.46243951439907,0.00471234373783766
